/var/spool/slurm/slurmd/job775448/slurm_script: line 19: ./venv/bin/activate: No such file or directory
/home/sep4013/.conda/envs/lilac2/lib/python3.13/site-packages/torchio/data/image.py:253: UserWarning: Using TorchIO images without a torchio.SubjectsLoader in PyTorch >= 2.3 might have unexpected consequences, e.g., the collated batches will be instances of torchio.Subject with 5D images. Replace your PyTorch DataLoader with a torchio.SubjectsLoader so that the collated batch becomes a dictionary, as expected. See https://github.com/TorchIO-project/torchio/issues/1179 for more context about this issue.
  warnings.warn(message, stacklevel=1)
 ----------------- Run Setup Summary -----------------
JOB NAME: lilac_rt_order_50
TASK: temporal_ordering
Target Attribute: timepoint
BACKBONE: resnet18_3D
RUN MODE: train
Num of GPUs: 1
Num of Model Parameter: 33203776
 ----------------- Training initiated -----------------
lr_scheduler.StepLR is set:  [20.0, 0.5]

[Epoch 0/100] [Batch 118/1393] [ loss: 1.149999 ] ETA: 1 day, 18:28:30.741699
[Epoch 0/100] [Batch 119/1393] [ loss: 0.390331 ] ETA: 1 day, 19:54:12.064680
[Epoch 0/100] [Batch 120/1393] [ loss: 0.928792 ] ETA: 1 day, 18:24:34.802680
[Epoch 0/100] [Batch 121/1393] [ loss: 0.924129 ] ETA: 1 day, 19:10:14.344446
[Epoch 0/100] [Batch 122/1393] [ loss: 1.201931 ] ETA: 1 day, 20:37:37.376036
[Epoch 0/100] [Batch 123/1393] [ loss: 0.851925 ] ETA: 1 day, 16:22:16.944320
[Epoch 0/100] [Batch 124/1393] [ loss: 1.602552 ] ETA: 1 day, 18:11:07.174679
[Epoch 0/100] [Batch 125/1393] [ loss: 1.174933 ] ETA: 1 day, 18:55:55.443770
[Epoch 0/100] [Batch 126/1393] [ loss: 0.926414 ] ETA: 1 day, 23:46:06.877732
[Epoch 0/100] [Batch 127/1393] [ loss: 0.970041 ] ETA: 1 day, 23:05:08.855929
[Epoch 0/100] [Batch 128/1393] [ loss: 0.274356 ] ETA: 1 day, 22:28:10.736258
[Epoch 0/100] [Batch 129/1393] [ loss: 1.129334 ] ETA: 1 day, 22:42:42.923235
[Epoch 0/100] [Batch 130/1393] [ loss: 2.873018 ] ETA: 1 day, 22:31:10.627012
[Epoch 0/100] [Batch 131/1393] [ loss: 1.231038 ] ETA: 2 days, 3:39:46.219210
[Epoch 0/100] [Batch 132/1393] [ loss: 0.922196 ] ETA: 1 day, 23:07:27.465080
[Epoch 0/100] [Batch 133/1393] [ loss: 0.591901 ] ETA: 1 day, 21:23:20.708610
[Epoch 0/100] [Batch 134/1393] [ loss: 0.602159 ] ETA: 1 day, 19:33:21.208328
[Epoch 0/100] [Batch 135/1393] [ loss: 0.487554 ] ETA: 1 day, 21:45:14.459244
[Epoch 0/100] [Batch 136/1393] [ loss: 0.702871 ] ETA: 1 day, 20:20:50.316121
[Epoch 0/100] [Batch 137/1393] [ loss: 0.888448 ] ETA: 1 day, 19:03:31.136607
[Epoch 0/100] [Batch 138/1393] [ loss: 1.498995 ] ETA: 1 day, 23:27:25.006180
[Epoch 0/100] [Batch 139/1393] [ loss: 1.055707 ] ETA: 1 day, 17:40:58.002944
[Epoch 0/100] [Batch 140/1393] [ loss: 0.691577 ] ETA: 1 day, 22:35:24.219189
[Epoch 0/100] [Batch 141/1393] [ loss: 3.541439 ] ETA: 1 day, 21:07:26.071724
[Epoch 0/100] [Batch 142/1393] [ loss: 0.810176 ] ETA: 1 day, 18:54:36.015492
[Epoch 0/100] [Batch 143/1393] [ loss: 0.599680 ] ETA: 1 day, 19:51:01.344499
[Epoch 0/100] [Batch 144/1393] [ loss: 0.558389 ] ETA: 1 day, 20:17:49.644587
[Epoch 0/100] [Batch 145/1393] [ loss: 0.552367 ] ETA: 1 day, 23:50:14.491246
[Epoch 0/100] [Batch 146/1393] [ loss: 0.633711 ] ETA: 1 day, 19:28:13.076817
[Epoch 0/100] [Batch 147/1393] [ loss: 1.151936 ] ETA: 1 day, 22:45:52.077529
[Epoch 0/100] [Batch 148/1393] [ loss: 0.805480 ] ETA: 2 days, 8:20:30.360146
[Epoch 0/100] [Batch 149/1393] [ loss: 0.832773 ] ETA: 1 day, 19:33:02.383299
[Epoch 0/100] [Batch 150/1393] [ loss: 0.494478 ] ETA: 1 day, 17:36:36.824360
[Epoch 0/100] [Batch 151/1393] [ loss: 0.585657 ] ETA: 1 day, 22:13:40.227259
[Epoch 0/100] [Batch 152/1393] [ loss: 0.666344 ] ETA: 1 day, 19:14:41.923613
[Epoch 0/100] [Batch 153/1393] [ loss: 0.663165 ] ETA: 1 day, 22:08:07.642223
[Epoch 0/100] [Batch 154/1393] [ loss: 1.802477 ] ETA: 1 day, 21:24:04.160053
[Epoch 0/100] [Batch 155/1393] [ loss: 0.707528 ] ETA: 1 day, 22:15:11.086129
[Epoch 0/100] [Batch 156/1393] [ loss: 0.642311 ] ETA: 1 day, 21:45:01.049038
[Epoch 0/100] [Batch 157/1393] [ loss: 0.692279 ] ETA: 1 day, 16:55:43.913334
[Epoch 0/100] [Batch 158/1393] [ loss: 0.582836 ] ETA: 1 day, 22:14:07.252057
[Epoch 0/100] [Batch 159/1393] [ loss: 0.839466 ] ETA: 1 day, 16:32:04.743437
[Epoch 0/100] [Batch 160/1393] [ loss: 0.579438 ] ETA: 1 day, 20:34:50.338054
[Epoch 0/100] [Batch 161/1393] [ loss: 0.618070 ] ETA: 1 day, 21:24:05.557952
[Epoch 0/100] [Batch 162/1393] [ loss: 2.202275 ] ETA: 1 day, 21:55:12.757711
[Epoch 0/100] [Batch 163/1393] [ loss: 0.629735 ] ETA: 1 day, 19:42:35.327899
[Epoch 0/100] [Batch 164/1393] [ loss: 1.543363 ] ETA: 1 day, 22:40:58.532959
[Epoch 0/100] [Batch 165/1393] [ loss: 0.557447 ] ETA: 1 day, 21:20:34.726081
[Epoch 0/100] [Batch 166/1393] [ loss: 0.640405 ] ETA: 2 days, 6:13:30.557934
[Epoch 0/100] [Batch 167/1393] [ loss: 1.468694 ] ETA: 2 days, 0:27:42.491548
[Epoch 0/100] [Batch 168/1393] [ loss: 0.773579 ] ETA: 1 day, 18:45:25.230705
[Epoch 0/100] [Batch 169/1393] [ loss: 0.739307 ] ETA: 1 day, 20:46:41.435332
[Epoch 0/100] [Batch 170/1393] [ loss: 0.409777 ] ETA: 1 day, 19:59:46.067224
[Epoch 0/100] [Batch 171/1393] [ loss: 0.629428 ] ETA: 1 day, 20:03:36.926364
[Epoch 0/100] [Batch 172/1393] [ loss: 0.861148 ] ETA: 1 day, 22:03:21.754074
[Epoch 0/100] [Batch 173/1393] [ loss: 1.315928 ] ETA: 1 day, 20:49:15.488298
[Epoch 0/100] [Batch 174/1393] [ loss: 0.778426 ] ETA: 1 day, 17:14:12.471667
[Epoch 0/100] [Batch 175/1393] [ loss: 0.641712 ] ETA: 1 day, 19:20:51.377892
[Epoch 0/100] [Batch 176/1393] [ loss: 0.550883 ] ETA: 1 day, 23:30:04.206168
[Epoch 0/100] [Batch 177/1393] [ loss: 0.621686 ] ETA: 1 day, 21:16:07.298846
[Epoch 0/100] [Batch 178/1393] [ loss: 0.862381 ] ETA: 1 day, 20:32:00.811870
[Epoch 0/100] [Batch 179/1393] [ loss: 0.632591 ] ETA: 1 day, 20:05:57.398127
[Epoch 0/100] [Batch 180/1393] [ loss: 0.632527 ] ETA: 1 day, 21:25:50.839138
[Epoch 0/100] [Batch 181/1393] [ loss: 0.725626 ] ETA: 1 day, 19:32:32.697043
[Epoch 0/100] [Batch 182/1393] [ loss: 0.502507 ] ETA: 1 day, 23:44:17.748078
[Epoch 0/100] [Batch 183/1393] [ loss: 0.473065 ] ETA: 2 days, 8:09:47.094349
[Epoch 0/100] [Batch 184/1393] [ loss: 0.732543 ] ETA: 2 days, 1:38:09.842317
[Epoch 0/100] [Batch 185/1393] [ loss: 0.819224 ] ETA: 1 day, 19:34:33.331389
[Epoch 0/100] [Batch 186/1393] [ loss: 0.706035 ] ETA: 1 day, 21:40:15.456925
[Epoch 0/100] [Batch 187/1393] [ loss: 0.609296 ] ETA: 1 day, 19:51:05.227454
